category,age,degree,university.country,employment.country,company.size,undergrad.achievement,undergraduate.need.to.learn,undergraduate.gpa.hired,undergraduate.gpa.proficiency,undergraduate.schoolchoice.proficiency,undergraduate.timeperiod.hired,undergraduate.timeperiod.proficiency,graduate.acheivement,graduate.need.to.learn,graduate.gpa.hired,graduate.timeperiod.hired,graduate.timeperiod.proficiency,BS.4yrExp.hired,BS.4yrExp.proficiency.rightafter,BS.4yrExp.proficiency.after1yr,MS.2yrBS.hired,MS.2yrBS.proficiency.rightafter,MS.2yrBS.proficiency.after1yr,undergraduate.gain.workExp,graudate.gain.workExp,alternatives,graduate.online.program,general.idea
Graduate student;Industry professional,26 - 35,Master's,USA,Germany,20 - 100 people,He/She learns computational thinking;He/She learns how to be a researcher;He/She gets credentials to get a good job,Real-world problem solving handling industry-type problems,I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,0 - 3 months,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Real-world problem solving handling industry-type problems,I think it's not relevant at all.,3 - 6 months,0 - 3 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Internship,Internship,Massive Open Online Courses (MOOCs),Time. The online program gives the schedule flexibility.;Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student;Industry professional,26 - 35,Bachelor's,USA,USA,20 - 100 people,He/She learns programming very well;He/She learns computational thinking;He/She gets credentials to get a good job,"Learn how to be a researcher;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I believe most of them already have an offer before graduation/after interning,6 - 12 months,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,"Project Management skill;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,6 -12 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Interning or co-oping. Also joining student project clubs or research labs.,Same as above,Retraining on the job.;Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,18 - 25,Bachelor's,USA,USA,"1,000 - 10,000 people","He/She learns programming very well;He/She learns computational thinking;He/She learns real-world problem solving handling industry-type problems;He/She learns how to be a researcher;He/She gets very good soft skills (communication, teamwork, etc);He/She gets credentials to get a good job","Project Management skill;Soft skills (communication, teamwork, etc)",I think that a high GPA is totally essential to land a great first job.,"I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.",I think it's not relevant at all.,0 - 3 months,3 - 6 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).;He/She gets credentials to get a good job.",Get the credentials and learn skills in finding a good job,I think it's not relevant at all.,3 - 6 months,0 - 3 months,I think that the BS candidate will stand more chances.,"I think that the BS candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",,,Massive Open Online Courses (MOOCs),"Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.
Industry professional,36 - 45,Bachelor's,USA,USA,"more than 10,000 people",He/She gets credentials to get a good job;Overqualified in Math & General Ed. Underqualified in programming.,(1) Web Tech & Design or (2) Fantastic at Algorithms & Databases.,I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",Top colleges & candidates self-select. They would be good without.,0 - 3 months,3 - 6 months,He/She learns how to be a researcher.;He/She gets credentials to get a good job.,"(1) Web Tech & Design, (2) Strong at Algorithms & Databases.",I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"Build complete, useful, real web/mobile apps & be able to talk about it.","Build complete, useful, real web/mobile apps & be able to talk about it.","(1) Building Full Web/Mobile Apps, (2) Competitive Programming.","Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
"Graduate student;Professor, teacher, or assistant",36 - 45,Master's,USA,USA,"1,000 - 10,000 people","He/She learns programming very well;He/She learns computational thinking;He/She gets very good soft skills (communication, teamwork, etc);He/She gets credentials to get a good job",Project Management skill,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,He/She learns programming very well.;He/She learns computational thinking.;He/She gets credentials to get a good job.,Project Management skill;Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,12 - 24 months,I think that the experienced candidate will stand more chances.,They'll perform more or less the same.,They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the MS candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,,internships,Retraining on the job.;Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,46 - 55,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns programming very well;He/She learns computational thinking;He/She gets credentials to get a good job,"Real-world problem solving handling industry-type problems;Learn how to be a researcher;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that the higher the GPA, the better a graduate performs on his job.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,More than 2 years,He/She learns programming very well.;He/She learns computational thinking.;He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Real-world problem solving handling industry-type problems;Learn how to be a researcher,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,12 - 24 months,I think that the BS candidate will stand more chances.,"I think that the BS candidate will perform much better; better quality, and faster work.",I don't know/prefer not to disclose.,I think that the MS candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",I don't know/prefer not to disclose.,Work summer jobs in field - intern if necessary,Assist in research projects,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student;Industry professional,36 - 45,Master's,USA,USA,I prefer not to disclose,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,0 - 3 months,6 - 12 months,He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She gets credentials to get a good job.,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,I don't know/prefer not to disclose,6 -12 months,I think that the BS candidate will stand more chances.,I don't know/prefer not to disclose.,They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,internships,work full time while completing graduate studies part time,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The BS students are already prepared to join the industry and they do not need a higher post-graduate degree.
Graduate student,36 - 45,Bachelor's,Italy,Italy,below 20 employees,He/She gets credentials to get a good job,"Programming in different languages;Computational Thinking skill;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I don't know/prefer not to disclose.,0 - 3 months,12 - 24 months,He/She learns computational thinking.;He/She gets credentials to get a good job.,"Programming in different languages;Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,1 - 3 months,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"More software architecture, less ""hello world"" excercies","A lot more software architecture, less technology focused courses",Retraining on the job.,"Time. The online program gives the schedule flexibility.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,26 - 35,High School,I don't have a degree,Italy,20 - 100 people,"He/She gets very good soft skills (communication, teamwork, etc);He/She gets credentials to get a good job;He gets a solid background, albeit essentially theoretical, in computer science",Programming in different languages;Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,0 - 3 months,I don't know/prefer not to disclose,I don't know/prefer not to disclose,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,0 - 3 months,I think that they're more or less have equal chances of getting hired.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I think that they're more or less have equal chances of getting hired.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,,,Retraining on the job.;In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Motivation. The topic should be of high interest, not just an imposed training experience.",The MS students are more prepared than undergraduate-level students.
Industry professional,46 - 55,Bachelor's,Italy,Italy,"more than 10,000 people",He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I don't know/prefer not to disclose.,More than 2 years,He/She learns computational thinking.;He/She learns how to be a researcher.,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I don't know/prefer not to disclose,More than 2 years,I think that the BS candidate will stand more chances.,They'll perform more or less the same.,"I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,,,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,56 - 65,Bachelor's,USA,USA,"more than 10,000 people","He/She learns computational thinking;He/She gets very good soft skills (communication, teamwork, etc);He/She gets credentials to get a good job",Programming in different languages;Real-world problem solving handling industry-type problems;Learn how to be a researcher,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",6 - 12 months,More than 2 years,He/She learns computational thinking.,Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",6 - 12 months,More than 2 years,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Should make internships = classes.,Internships as a part of education. Actual real credit hours.,Retraining on the job.,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,56 - 65,Master's,United Kingdom,United Kingdom,below 20 employees,The average student these days knows basic skills and not much more,Real-world problem solving handling industry-type problems;Modern thinking on software development - universities are about 10 years behind cutting edge,What's GPA?,What's GPA?,when I graduated the Tech College students were favoured over university students; they could do the work,0 - 3 months,More than 2 years,I don't know/prefer not to disclose;As before,as above,I don't know/prefer not to disclose.,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","It really depends on the individuals, in this scenario.",Placement,Placement,Work for a Learning Organization.  I've been learning the topic for the last 35 years,Not much at all.  Academic institutions are way behind the industry leaders.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,36 - 45,Bachelor's,Italy,Italy,20 - 100 people,He/She learns computational thinking,"Computational Thinking skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I think it's not relevant at all.,3 - 6 months,3 - 6 months,"He/She learns computational thinking.;He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).",Project Management skill;Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,3 - 6 months,I think that the BS candidate will stand more chances.,"I think that the BS candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,They'll perform more or less the same.,"I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",travelling and working as volunteer for onlus etc,working for small project in very good company,In-person classes in non-academic institutions (e.g. Bradfield school of computer science),I don't know/prefer not to disclose,The MS students are more prepared than undergraduate-level students.
Undergraduate student;Industry professional,18 - 25,High School,Italy,Italy,below 20 employees,He/She learns computational thinking,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get credentials and learn skills in finding a good job","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that the higher the GPA, the better a graduate performs on his job.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She gets very good soft skills (communication, teamwork, etc).",Real-world problem solving handling industry-type problems;Get the credentials and learn skills in finding a good job,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",1 - 3 months,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",Thanks to internship or teachers from companies,Internships or contribute to open source world,Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,56 - 65,"Doctorate (PhD, Doctor of Science, etc)",USA,I'm not employed,I'm not employed,He/She learns programming very well;He/She gets credentials to get a good job,"Programming in different languages;Computational Thinking skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,He/She learns programming very well.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Programming in different languages;Computational Thinking skill;Real-world problem solving handling industry-type problems;Learn how to be a researcher;Get the credentials and learn skills in finding a good job,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",1 - 3 months,6 -12 months,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,Work-study and/or internships.,Work-study and/or internships.,Retraining on the job.,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,18 - 25,Bachelor's,USA,I'm not employed,"1,000 - 10,000 people",He/She learns project management,Project Management skill,I think that a high GPA is totally essential to land a great first job.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",6 - 12 months,More than 2 years,He/She learns programming very well.;He/She gets credentials to get a good job.,Programming in different languages;Get the credentials and learn skills in finding a good job,I think that a high GPA is totally essential to get a great first job.,3 - 6 months,3 - 6 months,I think that they're more or less have equal chances of getting hired.,"I think that the BS candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,They'll perform more or less the same.,"I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",,,Retraining on the job.,Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.,The BS students are already prepared to join the industry and they do not need a higher post-graduate degree.
Industry professional,36 - 45,Bachelor's,Italy,Italy,20 - 100 people,He/She gets credentials to get a good job,"Programming in different languages;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,3 - 6 months,6 - 12 months,He/She gets credentials to get a good job.,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",More than one year,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,"I think that the MS candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",Combined study/work Experience ,Work-Linked training as part of education ,Retraining on the job.,Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,26 - 35,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Soft skills (communication, teamwork, etc);Get credentials and learn skills in finding a good job","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that the higher the GPA, the better a graduate performs on his job.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,3 - 6 months,He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She gets credentials to get a good job.,I don't know/prefer not to disclose,I don't know/prefer not to disclose.,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Internships and working on side projects unrelated to class work.,Internships and working on side projects unrelated to class work.,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student;Industry professional,26 - 35,Master's,USA,USA,"1,000 - 10,000 people",He/She learns programming very well;He/She learns how to be a researcher,"Project Management skill;Real-world problem solving handling industry-type problems;Learn how to be a researcher;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,3 - 6 months,12 - 24 months,He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Programming in different languages,I think it's not relevant at all.,1 - 3 months,12 - 24 months,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,By teaching them the real world application of what they are learning. understanding that there will be a learning curve no matter what job they obtain because in the programming realm different companies have different code bases. So it is important to get down the basic and such as debugging problem solving.,"As a graduate you should have some idea of the basic and i think that  would be a good time to let them learn more than one programming language. And teach the languages that are the most relevant to the companies they are applying for whether its Java, C#, C++ etc. By teaching them the real world application of what they are learning. understanding that there will be a learning curve no matter what job they obtain because in the programming realm different companies have different code bases.","Retraining on the job.;Google, youtube, code academy, khan academy (for mathematics), certifications, pluralsight","Time. The online program gives the schedule flexibility.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student;Industry professional,26 - 35,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,12 - 24 months,He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,"Project Management skill;Soft skills (communication, teamwork, etc);Leadership skills",I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,I don't know/prefer not to disclose,Depends on the job,"I think that the experienced candidate will perform much better; better quality, and faster work.","It will depend on candidates' work ethic and ability/drive to learn continually, not their academic or educational background at that point",Depends on the job,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",Depends on individual work ethic and drive/ability to learn continually,"Internships for credit, corporate partnerships with academic institute, or have students work on project for the institute (that may otherwise be contracted to professionals)","Continue working at least part-time while in school, tailor curriculum toward current problems/projects at companies that most students will aim for after graduation (Google, Microsoft, etc.)","Retraining on the job.;Massive Open Online Courses (MOOCs);Tech conferences, personal projects",Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,26 - 35,Bachelor's,USA,USA,"100 - 1,000 people","He/She learns programming very well;He/She learns computational thinking;He/She learns real-world problem solving handling industry-type problems;He/She gets very good soft skills (communication, teamwork, etc);He/She gets credentials to get a good job",Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I don't know/prefer not to disclose.,"I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,12 - 24 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).;He/She gets credentials to get a good job.",I don't know/prefer not to disclose,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.","Have some classes that make the student complex applications to real world problems, Internships.",Same as above.,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,26 - 35,Master's,Italy,Italy,20 - 100 people,"He/She learns computational thinking;He/She gets very good soft skills (communication, teamwork, etc)",Real-world problem solving handling industry-type problems;Get credentials and learn skills in finding a good job,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that the higher the GPA, the better a graduate performs on his job.",I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning,6 - 12 months,"He/She learns computational thinking.;He/She learns project management.;He/She gets very good soft skills (communication, teamwork, etc).;He/She gets credentials to get a good job.",Real-world problem solving handling industry-type problems,I think that a high GPA is totally essential to get a great first job.,I believe most of them already have an offer before graduation/after interning.,6 -12 months,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,"I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",,,Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
